#,Value,Qty,Mfr. Part #,LCSC #,DigiKey #,Mouser #,Price,Total Cost
1,303030 Li-Po,1,,,,,,0
2,4.7uF,2,GRM155R61A475KEAAD,C77004,NA,NA,0.0147,0.0294
3,0.1uF,14,GRM155R61H104JE14D,C426067,490-16356-1-ND,81-GRM155R61H104JE4D ,0.0068,0.0952
4,10uF,4,GRM155R61A106ME11D,C408132,490-GRM155R61A106ME11DCT-ND,81-GRM155R61A106ME1D,0.0129,0.0516
5,1uF,5,GRM155R61E105KA12D,C77009,490-10017-1-ND,81-GRM155R61E105KA2D,0.0067,0.0335
6,10pF,2,GRM1555C1H100JA01D,C76946,490-5921-1-ND,81-GRM1555C1H100JA1D,0.0023,0.0046
7,8.2pF,1,GRM1555C1H8R2CA01D,C76984,490-6256-1-ND,81-GRM1555C1H8R2CA1D ,0.0032,0.0032
8,3.6pF,1,GRM1555C1H3R6CA01D,C913745,490-5939-1-ND,81-GRM1555C1H3R6CA1D ,0.0044,0.0044
9,1.7pF,2,GJM1555C1H1R7BB01D,C161313,490-6074-1-ND,81-GJM1555C1H1R7BB1D,0.0277,0.0554
10,NC/TBD,2,,,,,,0
11,200pF,1,GCM1555C1H201JA16D,C710649,490-GCM1555C1H201JA16DCT-ND,81-GCM1555C1H201JA6D,0.0122,0.0122
12,PESD3V3Y1BSFYL,1,PESD4V0Y1BSFYL,C552545,1727-7840-1-ND, 771-PESD4V0Y1BSFYL ,0.0904,0.0904
13,SK6805-EC20,1,SK6805-EC20,C2890036,NA,NA,0.2103,0.2103
14,2450AT42E010BE,1,2450AT42E010B001E,C17243480,712-2450AT42E010B001ECT-ND,609-2450AT42E010BE,0.72,0.72
15,Polyfuse,1,0805L200SL9AR,C18198356,NA,NA,0.1019,0.1019
16,W25Q16JWXHIQ_TR,1,W25Q16JWXHIQ TR,C2835333,256-W25Q16JWXHIQTRCT-ND, 454-W25Q16JWXHIQTR ,0.69,0.69
17,USB_C_Receptacle_USB2.0,1,TYPE-C 16PIN 2MD(073),C2765186,NA,NA,0.56,0.56
18,to Brass Plate,1,,,,,,0
19,10uH,1,MLP2520S100ST0S1,C2049757,445-9507-1-ND,810-MLP2520S100ST0S1,0.0819,0.0819
20,2.0nH(0.1nH),1,LQG15HS2N0B02D,C2986275,490-LQG15HS2N0B02DCT-ND,81-LQG15HS2N0B02D,0.0407,0.0407
21,24nH,1,FHW0402UC024JST,C317961,NA,NA,0.0555,0.0555
22,1.5nH,1,LQG15HN1N5B02D,C3911113,490-LQG15HN1N5B02DTR-ND,81-LQG15HN1N5B02D ,0.0395,0.0395
23,2.7nH,1,LQG15HS2N7B02D,C162541,490-LQG15HS2N7B02DCT-ND, 81-LQG15HS2N7B02D ,0.0367,0.0367
24,1.0nH,1,LQG15HS1N0B02D,C162538,490-LQG15HS1N0B02DCT-ND,81-LQG15HS1N0B02D ,0.0306,0.0306
25,CMS-160925-078L100-67,1,CMS-160925-078L100-67,C3311830,CMS-160925-078L100-67-ND,490-CMS16092578L1067 ,2.32,2.32
26,SPH0645LM4H-B,1,SPH0645LM4H-B,NA,423-SPH0645LM4H-BCT-ND,721-SPH0645LM4H-B,1.92,1.92
27,AO3400A,2,AO3400A,C20917,785-1000-1-ND,NA,0.0724,0.1448
28,5.1K,2,RC0402FR-075K1L,C105872,311-5.10KLRCT-ND,603-RC0402FR-075K1L,0.0007,0.0014
29,2K,1,RC0402FR-072KL,C60488,311-2KLRCT-ND,603-RC0402FR-072KL,0.0007,0.0007
30,100,1,RC0402FR-07100RL,C106232,311-100LRCT-ND,603-RC0402FR-07100RL,0.0007,0.0007
31,1K,1,RC0402FR-071KL,C106235,311-1.00KLRCT-ND,603-RC0402FR-071KL,0.0007,0.0007
32,10K,4,RC0402FR-0710KL,C60490,311-10.0KLRCT-ND,603-RC0402FR-0710KL,0.0006,0.0024
33,300,1,RC0402FR-07300RL,C138010,311-300LRCT-ND,603-RC0402FR-07300RL,0.0007,0.0007
34,0,8,RC0402FR-070RL,C106231,311-0.0LRCT-ND,603-RC0402FR-070RL,0.0007,0.0056
35,1.5K,1,RC0402FR-071K5L,C114759,311-1.50KLRCT-ND,603-RC0402FR-071K5L,0.0007,0.0007
36,3.3K,1,RC0402FR-073K3L,C137992,311-3.30KLRCT-ND,603-RC0402FR-073K3L,0.0007,0.0007
37,4.7K,1,RC0402FR-074K7L,C105871,311-4.7KLRCT-ND,603-RC0402FR-074K7L,0.0006,0.0006
38,330,1,RC0402FR-07330RL,C105875,311-330LRCT-ND,603-RC0402FR-07330RL,0.0007,0.0007
39,47,3,RC0402FR-0747RL,C137973,311-47.0LRCT-ND,603-RC0402FR-0747RL,0.0006,0.0018
40,100K,3,RC0402FR-07100KL,C60491,311-100KLRCT-ND,603-RC0402FR-07100KL,0.0006,0.0018
41,Slide Switch,1,MK-12C02-G025,C778186,NA,NA,0.1027,0.1027
42,Boot,1,XDTD-0304-215,C7498203,2449-CS1213AGF260CT-ND,NA,0.0426,0.0426
43,Reset,1,XDTD-0304-215,C7498203,2449-CS1213AGF260CT-ND,NA,0.0426,0.0426
44,MCP73831T-2ATI/OT,1,MCP73831T-2ATI/OT,C14879,MCP73831T-2ATI/OTCT-ND,579-MCP73831T-2ATIOT,1.0548,1.0548
45,DW01,1,DW01,C686633,NA,NA,0.061,0.061
46,TPS2115ADRBR,1,TPS2115ADRBR,C140321,296-23394-1-ND, 595-TPS2115ADRBR ,1.0628,1.0628
47,TPS62026DGQ,1,TPS62026DGQ,C1356111,296-34633-5-ND,595-TPS62026DGQ,1.7824,1.7824
48,ESP32-S3,1,ESP32-S3,C2913192,1965-ESP32-S3-ND,356-ESP32-S3,2.5471,2.5471
49,APS1604M-SQ-SN,1,APS1604M-SQ-SN,NA,NA,878-APS1604M-SQ-SN,1.26,1.26
50,MAX98357AETE_T,1,MAX98357AETE+T,C910544,MAX98357AETE+TCT-ND,700-MAX98357AETE+T,1.2537,1.2537
51,ECS-400-10-36B2-CKM-TR,1,ECS-400-10-36B2-CKM-TR,NA,50-ECS-400-10-36B2-CKM-TRCT-ND,520-400-10-36B2CKMTR,0.42,0.42
,,,,,,,,16.98
